timestamp,generation_kwh,consumption_kwh,export_kwh,meter_id
2026-01-15T08:00:00Z,3.2,0.6,2.5,SAMPLE-ROOFTOP-01
2026-01-15T09:00:00Z,4.1,0.7,3.3,SAMPLE-ROOFTOP-01
2026-01-15T10:00:00Z,4.8,0.8,3.9,SAMPLE-ROOFTOP-01
2026-01-15T11:00:00Z,5.0,1.0,3.8,SAMPLE-ROOFTOP-01
2026-01-15T12:00:00Z,4.6,1.2,3.2,SAMPLE-ROOFTOP-01
2026-01-15T13:00:00Z,3.9,1.1,2.6,SAMPLE-ROOFTOP-01
2026-01-15T14:00:00Z,2.8,0.9,1.8,SAMPLE-ROOFTOP-01
2026-01-15T18:00:00Z,0.2,1.5,0.0,SAMPLE-ROOFTOP-01
2026-01-16T08:00:00Z,3.0,0.5,2.4,SAMPLE-ROOFTOP-01
2026-01-16T09:00:00Z,3.7,0.6,3.0,SAMPLE-ROOFTOP-01
2026-01-16T10:00:00Z,4.4,0.7,3.5,SAMPLE-ROOFTOP-01
2026-01-16T11:00:00Z,4.9,0.9,3.8,SAMPLE-ROOFTOP-01
